[RUN] passes=5 max_updates=120 delay_ms=1100
[RUN] pass 1/5 started...
Loading provinces/districts...
Loading POIs...
POI loaded: 27008
Mismatch candidates: 989
[1] St. Simon Manastırı | Hatay: - -> Defne
[4] Ceneviz Kalesi Ve Sahil Plajı | Düzce: - -> Akçakoca
[5] Pişi Mutfak Moda – Kahvaltı & Brunch | İstanbul: - -> Kadıköy
[6] Casa Kanyon Kazdağları | Çanakkale: - -> Ayvacık
[7] 39 Kalamış Marina Otel & Restoran | İstanbul: - -> Kadıköy
[8] Muradiye Şelalesi | Van: - -> Muradiye
[9] Çamlıca Park Otel | Trabzon: - -> Of
[10] Zifin Hotel | Giresun: - -> Dereli
[11] Harbiye Şelalesi | Hatay: - -> Defne
[12] Theimussa Antik Kenti | Antalya: - -> Demre
[13] Flyinn Alışveriş ve Yaşam Merkezi | İstanbul: - -> Bakırköy
[14] Serindere Kanyonu | Kocaeli: - -> Kartepe
[15] Dokuzoluk Kanyonu ve Kamp Alanı | Adana: - -> Karaisalı
[16] La Vida Urla House | İzmir: - -> Urla
[17] Cafe Sera Urla | İzmir: - -> Urla
[18] Sarıalan Teleferik İstasyonu | Bursa: - -> Osmangazi
[19] Hanımın Yeri | Burdur: - -> Çavdır
[20] Kayseri Bilim Merkezi | Kayseri: - -> Kocasinan
[21] MR GREY Müzik Organizasyon | İzmir: - -> Urla
[22] ibis Kayseri | Kayseri: - -> Kocasinan
[23] Beyoğlu İskender Et Balık Restaurant | Yozgat: - -> Sorgun
[24] Atatürk Evi Müzesi | Kayseri: - -> Melikgazi
[25] Atatürk Kent Ormanı | Bursa: - -> Nilüfer
[26] Bikka Coffee & Bistro | Trabzon: - -> Ortahisar
[27] Ergene çeşmesi | Mersin: - -> Çamlıyayla
[28] Kara Mağara Koyu | Hatay: - -> Yayladağı
[29] İDİL HAZNEDAR OTEL | Şırnak: - -> İdil
[30] Yesemek Açık Hava Müzesi | Gaziantep: - -> İslahiye
[31] Le Reve Boutique Hotel | Hatay: - -> Antakya
[32] İkidenizarasi Winery | İzmir: - -> Urla
[33] Göbel Termal Tesisleri | Kütahya: - -> Tavşanlı
[34] Çıldır Gölbaşı Restoran Kıl Çadır | Ardahan: - -> Çıldır
[35] Luovo Urla | İzmir: - -> Urla
[36] Geçilmez Kanyonu | Hatay: - -> Dörtyol
[37] 464 Yeniköy | İstanbul: - -> Sarıyer
[38] Rüya Motel Assos Beach Restaurant & Butik Otel | Çanakkale: - -> Ayvacık
[39] Morn | İstanbul: - -> Kadıköy
[40] N'Ala Otel Sakarya | Sakarya: - -> Erenler
[41] sagalassos lodge hotel | Burdur: - -> Ağlasun
[42] Tarihi Küçük Saat | Adana: - -> Seyhan
[43] Bağrıbütün Parkı | Yozgat: - -> Aydıncık
[44] Ulus Atatürk Heykeli | Ankara: - -> Altındağ
[45] Brekkie Breakfast Club | İstanbul: - -> Kadıköy
[46] Elysia Glamping Assos | Çanakkale: - -> Ayvacık
[47] Kuğu Urla | İzmir: - -> Urla
[48] Devr-i Alem Para Müzesi | Gaziantep: - -> Şahinbey
